periodid,periodname,periodcode,perioddescription,orgunitlevel1,orgunitlevel2,orgunitlevel3,orgunitlevel4,orgunitlevel5,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,105-AN010. Third dose IPT (IPT3),105-AN01a. ANC 1st Visit for women,105-AN01b. ANC 1st Visit for women (1st Trimester),105-AN02. ANC 4th Visit for women,105-AN03. ANC 4+ visits for Women,105-AN04. ANC 8 contacts/visits for women,105-AN05. Total ANC contacts/visits (New clients + Re-attendances),105-AN06a. Total Referrals to ANC unit,105-AN06b. Referrals to ANC unit from community services,105-AN07a. Total ANC Referrals from unit,105-AN07b. ANC Referrals from unit for mothers newly enrolled in MCH groups,105-AN08. First dose IPT (IPT1),105-AN09. Second dose IPT (IPT2),105-AN11. IPT Dose 4+,105-AN12a. TB Screening for ANC clients - Screened for TB,105-AN12b. TB Screening for ANC clients - Presumed to have TB,105-AN12c. TB Screening for ANC clients - Diagnosed with  TB,105-AN13a. Blood and Rhesus Group (O) - Total,105-AN13b. Blood and Rhesus Group (O) - Rhesus(O+),105-AN14a. Blood and Rhesus Group (A) - Total,105-AN14b. Blood and Rhesus Group (A) - Rhesus(A+),105-AN15a. Blood and Rhesus Group (B) - Total,105-AN15b. Blood and Rhesus Group (B) - Rhesus(B+),105-AN16a. Blood and Rhesus Group (AB) - Total,105-AN16b. Blood and Rhesus Group (AB) - Rhesus(AB+),105-AN17. Pregnant women who were tested for Anaemia using Hb Test at ANC 1st contact / visit,105-AN18. Pregnant women with Hb <10g/dl at ANC 1st contact / visit,105-AN19. Pregnant women who were tested for anaemia using Hb test at ANC after 36 weeks,105-AN20. Pregnant women with Anaemia (Hb <10g/dl) at ANC after 36 weeks,105-AN21. Pregnant Women receiving atleast 30 tablets of Iron/Folic Acid at ANC 1st contact /  Visit,105-AN22. Pregnant Women receiving atleast 30 tablets of Iron/Folic Acid at ANC after 36 weeks,105-AN23. Pregnant Women receiving LLINs at ANC 1st visit,105-AN24a. Pregnant women who received obstetric ultra sound scan during any ANC visits - Total,105-AN24b. Pregnant women who received obstetric ultra sound scan during any ANC visits - Done at or before 24 weeks,105-AN25a. Pregnant women dewormed or receiving mebendazole - Total,105-AN25b. Pregnant women dewormed or receiving mebendazole - Done after 28 weeks,105-AN26a. Pregnant Women tested for syphilis for first time during this pregnancy,105-AN26b. Pregnant Women tested for syphilis for first time during this pregnancy - Positive,105-AN26c. Pregnant Women tested for syphilis for first time during this pregnancy - Started on Treatment,105-AN27a. Male partners tested for syphilis,105-AN27b. Male partners tested for syphilis -Positive,105-AN27c. Male partners tested for syphilis (Started on Treatment),105-AN28a. Pregnant women tested for Hepatitis B,105-AN28b. Pregnant women tested for Hepatitis B - Positive,105-AN28c. Pregnant women tested for Hepatitis B - Started on Treatment,105-AN29a. Pregnant women newly tested for HIV in this pregnancy at any ANC visit (TR & TRR) - total,105-AN29b. Pregnant women newly tested for HIV in this pregnancy at any ANC visit (TR & TRR) - ANC 1,105-AN30a. Pregnant Women tested HIV+ for 1st time this pregnancy (TRR) at any ANC Visit - Total,105-AN30b. Pregnant Women tested HIV+ for 1st time this pregnancy (TRR) at any ANC Visit - ANC 1,105-AN31a. HIV+ Pregnant women assessed by CD4 - Total,105-AN31b. HIV+ Pregnant women assessed by CD4 - ANC 1,"105-AN32. HIV+ pregnant women initiated on ART for eMTCT at any visit irrespective of when tested HIV+ (TRR,TRR+,TRR,TRRK)",105-AN33a. Total Pregnant Women who knew status before 1st ANC - TRK + TRRK,105-AN33b. Pregnant Women who knew status before 1st ANC - HIV+ TRRK,105-AN34a. HIV+ pregnant women already on ART before 1st ANC - Total(ART-K),105-AN34b. HIV+ pregnant women already on ART before 1st ANC - Viral Load Sample collected(ART-K),105-AN34c. HIV+ pregnant women already on ART before 1st ANC - Viral Load Results returned(ART-K),105-AN34d. HIV+ pregnant women already on ART before 1st ANC - Viral Load Suppressed(ART-K),105-AN35a. Pregnant women who re-tested later in pregnancy - Total (TR+ &TRR+),105-AN35b. Pregnant women who re-tested later in pregnancy - HIV+ (TRR+),105-AN36. HIV+ pregnant women given ARV prophylaxis for the un born infants for the 1st time in ANC,105-AN37a. Pregnant women given self-testing kits for their male partners - Total,105-AN37b. Pregnant women given self-testing kits for their male partners - Tests returned HIV+,105-AN37c. Pregnant women given self-testing kits for their male partners - Tests returned HIV-,105-AN38a. Male partners received HIV test results in eMTCT - Total tested (TR & TRR),105-AN38b. Male partners received HIV test results in eMTCT - HIV+ (TRR),105-AN39a. Male partners with a known status at their first visit as a couple in ANC - Total (TRK & TRRK),105-AN39b. Male partners with a known status at their first visit as a couple in ANC - HIV+ (TRRK),105-AN40. HIV+ Male partners initiated on ART in the ANC setting,105-AN41. Number of discordant couples identified in ANC,105-AN42a. Pregnant women who received Counselling (Maternal Nutrition ) - Total,105-AN42b. Pregnant women who received Counselling (Maternal Nutrition) - HIV+,105-AN42c. Pregnant women who received Counselling (Infant Feeding ) - Total,105-AN42d. Pregnant women who received Counselling (Infant Feeding ) - HIV+
202401,January 2024,202401,,MOH - Uganda,North Central,Mityana District,Kikandwa Subcounty,Bukalamuli Health Centre III,aX6RTPDgyh1,Bukalamuli Health Centre III,,,4.0,6.0,2.0,2.0,7.0,,19.0,,,,,6.0,1.0,8.0,19.0,,,9.0,9.0,1.0,1.0,3.0,3.0,1.0,1.0,6.0,,,,2.0,2.0,6.0,3.0,2.0,8.0,3.0,6.0,2.0,2.0,3.0,1.0,1.0,6.0,,,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,19.0,,19.0,
202401,January 2024,202401,,MOH - Uganda,Teso,Bukedea District,Bukedea Town Council,Bukedea Mission Health Centre II,aNchHEjSnch,Bukedea Mission Health Centre II,,,17.0,26.0,5.0,12.0,20.0,1.0,72.0,6.0,,,,25.0,10.0,18.0,72.0,,,,,,,,,,,,,,,5.0,23.0,26.0,16.0,5.0,31.0,5.0,28.0,,,21.0,,,,,,27.0,23.0,,,,,,2.0,2.0,2.0,,,,12.0,,,,,,,,,,,2.0,72.0,2.0,72.0,2.0
202401,January 2024,202401,,MOH - Uganda,North Central,Mukono District,Goma Division,Bukerere Health Centre II,l5HaUjsJOQX,Bukerere Health Centre II,,,11.0,10.0,4.0,6.0,4.0,,40.0,,,,,10.0,9.0,10.0,40.0,,,,,,,,,,,,,,,10.0,3.0,10.0,3.0,2.0,40.0,18.0,10.0,,,,,,10.0,,,10.0,10.0,,,,,,,,,,,,4.0,,,,,,,,,,,,40.0,1.0,40.0,1.0
202401,January 2024,202401,,MOH - Uganda,North Central,Kyankwanzi District,Butemba Town Council,Bukwiri COU Health Centre II,dxqfSox63Rh,Bukwiri COU Health Centre II,,,6.0,17.0,2.0,5.0,7.0,,46.0,,,,,16.0,15.0,7.0,46.0,,,,,,,,,,,,,,,2.0,3.0,17.0,,,34.0,4.0,17.0,,,,,,17.0,,,17.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
202401,January 2024,202401,,MOH - Uganda,Busoga,Kamuli District,Nawanyago Subcounty,Bupadhengo Flep Health Centre II,Lgs45wMr4Ua,Bupadhengo Flep Health Centre II,,,6.0,31.0,28.0,10.0,,,41.0,,,,,17.0,10.0,,41.0,,,,,,,,,,,,,,,28.0,5.0,31.0,,,7.0,7.0,5.0,,,2.0,0.0,0.0,0.0,0.0,0.0,31.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
202401,January 2024,202401,,MOH - Uganda,Busoga,Namayingo District,Banda Subcounty,Busiro Church of God Health Centre III,s3KGtzqaMyJ,Busiro Church of God Health Centre III,,,9.0,39.0,25.0,12.0,19.0,,117.0,43.0,36.0,2.0,,9.0,22.0,16.0,117.0,22.0,,14.0,12.0,15.0,14.0,10.0,10.0,2.0,2.0,,,,,25.0,1.0,36.0,2.0,,24.0,1.0,36.0,2.0,,3.0,1.0,,36.0,,,36.0,36.0,,,,,,3.0,3.0,3.0,3.0,,,10.0,,,2.0,,2.0,,,1.0,1.0,,,117.0,11.0,117.0,11.0
202401,January 2024,202401,,MOH - Uganda,South Central,Masaka City,Nyendo-Mukungwe Division,Butende Health Centre III,S79Lcu8O003,Butende Health Centre III,,,11.0,20.0,3.0,2.0,7.0,,53.0,,,,,19.0,9.0,8.0,53.0,,,18.0,13.0,6.0,3.0,5.0,5.0,2.0,2.0,,,,,17.0,,7.0,21.0,5.0,22.0,3.0,19.0,1.0,1.0,1.0,,,19.0,,,17.0,17.0,,,,,,3.0,3.0,3.0,3.0,3.0,,,,3.0,,,,,,,,,,53.0,3.0,53.0,3.0
202401,January 2024,202401,,MOH - Uganda,Busoga,Mayuge District,Buwaaya Subcounty,Buwaya Health Centre II,lCEffRvoU53,Buwaya Health Centre II,,,13.0,29.0,29.0,10.0,12.0,,85.0,,,,,22.0,17.0,11.0,85.0,,,,,,,,,,,,,,,29.0,10.0,,,,28.0,3.0,,,,,,,,,,29.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,85.0,,85.0,
202401,January 2024,202401,,MOH - Uganda,South Central,Rakai District,Ddwaniro Subcounty,Buyamba Disp & Mu Health Centre III,ICMb8Mqt8ze,Buyamba Disp & Mu Health Centre III,,,,37.0,13.0,9.0,8.0,,91.0,,,,,,,,91.0,,,,,,,,,,,37.0,,,,21.0,8.0,37.0,20.0,17.0,34.0,32.0,37.0,,,,,,37.0,,,37.0,34.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,7.0,,2.0,,,,,,,91.0,1.0,91.0,1.0
202401,January 2024,202401,,MOH - Uganda,Busoga,Buyende District,Buyanja Subcounty,Buyanja SDA Health Centre II,YYtjEbgJadL,Buyanja SDA Health Centre II,,,21.0,61.0,11.0,72.0,9.0,1.0,143.0,,,1.0,,49.0,21.0,40.0,143.0,,,,,,,,,,,,,,,11.0,6.0,61.0,5.0,,51.0,6.0,61.0,,,13.0,,,61.0,,,61.0,51.0,,,,,,,,,,,,,,,,,,,,,,,,143.0,,143.0,
202401,January 2024,202401,,MOH - Uganda,South Central,Wakiso District,Kasanje Subcounty,Buyege Health Centre III,k2a3PCnnVdI,Buyege Health Centre III,,,16.0,33.0,5.0,10.0,11.0,1.0,102.0,,,,,31.0,27.0,17.0,,,,13.0,13.0,6.0,6.0,7.0,7.0,,,,,,,5.0,1.0,33.0,34.0,10.0,27.0,,33.0,,,7.0,,,33.0,,,31.0,31.0,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,102.0,,102.0,
202401,January 2024,202401,,MOH - Uganda,South Central,Bukomansimbi District,Kibinge Subcounty,Buyoga Health Centre III,RlulmyGd2XY,Buyoga Health Centre III,,,14.0,24.0,5.0,10.0,9.0,1.0,77.0,0.0,0.0,0.0,0.0,20.0,17.0,19.0,77.0,0.0,0.0,48.0,48.0,10.0,10.0,16.0,16.0,3.0,3.0,0.0,0.0,0.0,0.0,22.0,3.0,19.0,4.0,0.0,12.0,5.0,24.0,0.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,1.0,1.0,1.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,7.0,77.0,7.0
202401,January 2024,202401,,MOH - Uganda,Busoga,Jinja District,Busedde Subcounty,Bwidhabwangu Health Centre II,EUZupmOWTtg,Bwidhabwangu Health Centre II,,,4.0,13.0,13.0,1.0,2.0,,20.0,,,,,12.0,1.0,,,,,,,,,,,,,,,,,,,13.0,,,20.0,7.0,13.0,,,,,,,,,13.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
202401,January 2024,202401,,MOH - Uganda,North Central,Mityana District,Butayunja Subcounty,Cardinal Nsubuga Memorial Health Centre III,aNwwYe1P90o,Cardinal Nsubuga Memorial Health Centre III,,,4.0,17.0,16.0,3.0,,,30.0,,,,,17.0,4.0,5.0,30.0,,,6.0,6.0,1.0,1.0,6.0,6.0,4.0,4.0,17.0,,,,16.0,,17.0,,,23.0,2.0,17.0,,,,,,17.0,,,17.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,45.0,,45.0,
202401,January 2024,202401,,MOH - Uganda,Bukedi,Busia District,Dabani Subcounty,Dabani Hospital,AhDvE2o9F3L,Dabani Hospital,,,80.0,143.0,25.0,58.0,59.0,4.0,414.0,6.0,0.0,0.0,0.0,125.0,75.0,106.0,414.0,0.0,0.0,97.0,95.0,63.0,63.0,47.0,47.0,20.0,19.0,109.0,26.0,7.0,2.0,136.0,23.0,136.0,0.0,0.0,88.0,48.0,136.0,0.0,0.0,0.0,0.0,0.0,109.0,0.0,0.0,136.0,136.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,0.0,0.0,0.0,11.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,414.0,7.0,414.0,7.0
202401,January 2024,202401,,MOH - Uganda,South Central,Mpigi District,Kammengo Subcounty,Ggoli - St Yakobo Health Centre III,SzVYBCcGiM7,Ggoli - St Yakobo Health Centre III,,,18.0,30.0,,10.0,4.0,,81.0,,,,,26.0,18.0,12.0,81.0,,,16.0,16.0,7.0,7.0,5.0,5.0,2.0,1.0,30.0,1.0,,,6.0,,30.0,18.0,8.0,34.0,13.0,30.0,2.0,2.0,5.0,,,30.0,1.0,1.0,29.0,29.0,,,,,,1.0,1.0,1.0,1.0,,,6.0,,1.0,,,,5.0,,,,,,81.0,4.0,81.0,4.0
202401,January 2024,202401,,MOH - Uganda,North Central,Luwero District,Kikyusa Town Council,Holy Cross - Kikyusa Health Centre IV,fzBgyH6ixVC,Holy Cross - Kikyusa Health Centre IV,,,26.0,34.0,13.0,15.0,6.0,0.0,107.0,0.0,0.0,1.0,1.0,21.0,26.0,18.0,107.0,0.0,0.0,21.0,20.0,7.0,7.0,6.0,6.0,0.0,0.0,34.0,3.0,1.0,0.0,34.0,2.0,34.0,11.0,3.0,21.0,0.0,34.0,1.0,1.0,1.0,0.0,0.0,34.0,0.0,0.0,32.0,32.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,15.0,,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,107.0,3.0,107.0,3.0
202401,January 2024,202401,,MOH - Uganda,North Central,Mityana District,Kalangaalo Subcounty,Holy Family Naluggi Health Centre II,HNMrtobhini,Holy Family Naluggi Health Centre II,,,1.0,4.0,1.0,3.0,1.0,,8.0,,,,,4.0,,3.0,8.0,,,,2.0,1.0,,,1.0,1.0,,5.0,,1.0,,1.0,9.0,1.0,4.0,4.0,5.0,3.0,8.0,,,,,,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,6.0,,6.0,
202401,January 2024,202401,,MOH - Uganda,Teso,Bukedea District,Kamutur Subcounty,Holy Innocent Health Centre III,TnIUAczx1Hq,Holy Innocent Health Centre III,,,3.0,12.0,2.0,1.0,1.0,,26.0,4.0,4.0,,,24.0,2.0,1.0,26.0,,,6.0,6.0,5.0,5.0,,,1.0,1.0,12.0,,4.0,,12.0,4.0,,,,3.0,3.0,12.0,,,1.0,1.0,1.0,12.0,1.0,1.0,12.0,12.0,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,26.0,2.0,26.0,2.0
202401,January 2024,202401,,MOH - Uganda,Tooro,Fort Portal City,Fort Portal Central Division,Kabarole COU Hospital,gLhqifDs7hU,Kabarole COU Hospital,,,32.0,39.0,6.0,20.0,37.0,9.0,170.0,,,,,40.0,25.0,45.0,120.0,,,19.0,,22.0,22.0,14.0,13.0,2.0,2.0,26.0,,,,6.0,24.0,6.0,37.0,19.0,44.0,32.0,29.0,1.0,1.0,,,,35.0,4.0,4.0,29.0,29.0,,,,,,10.0,9.0,9.0,9.0,,,11.0,,,2.0,,,2.0,,6.0,6.0,,,120.0,33.0,120.0,33.0
202401,January 2024,202401,,MOH - Uganda,Bukedi,Butaleja District,Mazimasa Subcounty,Kabasa Memorial Hospital,Xm71SWWTqfb,Kabasa Memorial Hospital,,,,15.0,1.0,3.0,4.0,,38.0,,,,,,,,38.0,,,,,,,,,,,,,,,15.0,2.0,,,,20.0,6.0,15.0,,,,,,,,,14.0,14.0,,,,,,1.0,1.0,1.0,,,,4.0,,,,,,,,,,,,38.0,2.0,38.0,2.0
202401,January 2024,202401,,MOH - Uganda,Tooro,Kamwenge District,Kabuga Town Council,Kabuga Health Centre III,JiXMZzyWhUb,Kabuga Health Centre III,,,21.0,63.0,19.0,12.0,20.0,,140.0,,,,,49.0,26.0,25.0,140.0,,,,,,,,,,,,,,,19.0,4.0,63.0,1.0,,73.0,11.0,54.0,,,24.0,,,5.0,,,63.0,63.0,,,,,,,,,,,,6.0,,,,,,5.0,,,,,,140.0,4.0,140.0,4.0
